Model,Training Time (s),Training Loss,Training Accuracy,Testing Accuracy,Trainable Parameters
VGG1,187.7037029266357,0.2472933232784271,0.925000011920929,0.625,40961153
VGG3,248.1646173000336,0.3954401016235351,0.875,0.6499999761581421,10333505
VGG3_augmentation,279.4682958126068,0.5938555002212524,0.75,0.699999988079071,10333505
VGG16_all_layers,2106.6193976402283,,0.5,0.5,17926209
VGG16_MLP_layers,719.9859993457794,4.624091525329277e-05,1.0,0.975000023841858,3211521
MLP,304.6170883178711,0.296314001083374,0.9437500238418579,0.625,525090817
